OBJECTID,TILENAME,DOWNLOAD_P,AVAILABLE,COMMTYPE,YEAR,NOTE,TILENUM,FIPS6,TOWNGEOID,MEETS_STD,ORIG_P,SHAPE_Length,SHAPE_Area
69,Warren,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Warren.zip,Y,TOWN,2019-04-03,,WARREN,23085,5002376525,Y, ,41859.9519355987,103944760.077809
70,Whiting,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Whiting.zip,Y,TOWN,2018-11-28,,WHITING,1115,5000183800,Y, ,27670.9296357337,35495453.8053304
71,Ira,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Ira.zip,Y,TOWN,2021-05-21,,IRA,21045,5002135425,Y, ,39941.2886186207,57676859.1613177
72,Mendon,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Mendon.zip,Y,TOWN,2020-08-10,,MENDON,21050,5002144125,Y,http://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_standardized/MENDON/ORIG/VTPARCELS_MENDON_2017.zip,53538.7568665379,98443721.1398664
73,Norwich,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Norwich.zip,Y,TOWN,2021-07-08,,NORWICH,27055,5002752900,Y, ,46106.0805399852,115819850.929394
74,Braintree,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Braintree.zip,Y,TOWN,2021-07-12,,BRAINTREE,17010,5001707600,Y, ,41523.1007686,99837216.9231595
75,Northfield,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Northfield.zip,Y,TOWN,2021-07-13,,NORTHFIELD,23065,5002350275,Y, ,47045.4942193625,115909985.86849
76,Springfield,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Springfield.zip,Y,TOWN,2021-07-20,,SPRINGFIELD,27090,5002769550,Y, ,46310.5959714305,128424294.837294
77,Morgan,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Morgan.zip,Y,TOWN,2021-07-21,,MORGAN,19070,5001946450,Y, ,45378.2966216773,88380777.8185997
78,Middletown Springs,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Middletown Springs.zip,Y,TOWN,2021-07-23,,MIDDLETOWNSPRINGS,21055,5002144800,Y, ,31619.7476195097,58813219.2340992
